platform_name,platform_ID,IND,home_country,developer_portal_url,num_host_countries
NatWest Group Plc,CC229,Credit Card Transactions,United Kingdom,,1
National Australia Bank Group (NAB),CC223,Credit Card Transactions,Australia,,1
National Bank of Egypt,CC225,Credit Card Transactions,Egypt,,1
National Bank of Greece SA,CC226,Credit Card Transactions,Greece,,1
Nedbank Group Ltd,CC230,Credit Card Transactions,South Africa,,1
Nexi Payments SpA,CC232,Credit Card Transactions,Italy,,1
NongHyup Financial Group Inc,CC234,Credit Card Transactions,South Korea,,1
Nordea Bank Abp,CC235,Credit Card Transactions,Finland,,3
Novo Banco SA,CC236,Credit Card Transactions,Portugal,,1
Nu Pagamentos SA,CC237,Credit Card Transactions,Brazil,,2
OTP Bank NyRt,CC239,Credit Card Transactions,Hungary,,4
Oversea-Chinese Banking Corp Ltd (OCBC Bank),CC240,Credit Card Transactions,Singapore,,2
PKO Bank Polski SA,CC246,Credit Card Transactions,Poland,,1
PPF Group NV,CC248,Credit Card Transactions,Netherlands,,1
Paybox Bank AG,CC241,Credit Card Transactions,Austria,,1
Ping An Insurance Co of China Ltd,CC244,Credit Card Transactions,China,,1
Piraeus Bank SA,CC245,Credit Card Transactions,Greece,,1
PrivatBank KB AT,CC250,Credit Card Transactions,Ukraine,,1
Public Bank Bhd,CC252,Credit Card Transactions,Malaysia,,1
Qatar National Bank SAQ,CC253,Credit Card Transactions,Qatar,,2
Rabobank Groep NV,CC254,Credit Card Transactions,Netherlands,,1
Raiffeisen Bank International AG,CC255,Credit Card Transactions,Austria,,1
Raiffeisen Zentralbank AG,CC256,Credit Card Transactions,Austria,,4
Ripley Corp SA,CC258,Credit Card Transactions,Chile,,2
Riyad Bank,CC259,Credit Card Transactions,Saudi Arabia,,1
Rizal Commercial Banking Corp - RCBC,CC260,Credit Card Transactions,Philippines,,1
Royal Bank of Canada (RBC),CC261,Credit Card Transactions,Canada,,1
Russkiy Standart Bank AO,CC262,Credit Card Transactions,Russia,,1
SBI Cards & Payment Services Ltd,CC268,Credit Card Transactions,India,,1
Saigon Thuong Tin Commercial JSB,CC264,Credit Card Transactions,Vietnam,,1
